Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
Project,metricsPackage,Child1,foo,13,3,0
Project,metricsPackage,Child2,method1,4,1,0
Project,metricsPackage,Child2,method2,3,1,0
Project,metricsPackage,Child2,method3,4,1,0
Project,metricsPackage,TestMetricsClass,publicMethod,26,9,3
Project,metricsPackage,TestMetricsClass,privateMethod,2,1,0
Project,metricsPackage,ForeignClass4,func,4,1,0
